Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6361195df8d8ce6d99e7bc6a,5689916dd3d6a7000aa1cbf0,APPROVED,2022-11-01T13:04:32.024000Z,2022-11-01T13:34:38.825000Z,2022-11-01T13:34:39.272000Z,2022-11-01T13:34:39.204480Z,1807.0,C14BP128,1657,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63611bedab864f91f091f4f8,5e9c5460d2c58515ec1702be,APPROVED,2022-11-01T13:15:34.037000Z,2022-11-01T13:52:17.117000Z,2022-11-01T13:52:17.533000Z,2022-11-01T13:52:17.469272Z,2204.0,C14BP128,158,26,Female,White,Poland,United Kingdom,Poland,Polish,No,Other
63611dbb0e493308405ec5ae,5995889da2bbe000018833d9,APPROVED,2022-11-01T13:23:10.199000Z,2022-11-01T13:48:23.628000Z,2022-11-01T13:48:24.261000Z,2022-11-01T13:48:24.195873Z,1514.0,C14BP128,822,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63611e1d65f766140a262d19,5d3d9749607ede001a0712df,APPROVED,2022-11-01T13:24:49.959000Z,2022-11-01T14:00:32.475000Z,2022-11-01T14:00:33.074000Z,2022-11-01T14:00:32.965525Z,2143.0,C14BP128,1269,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
63612029e6d1d4fd46623767,5e204990b062543612e9a254,APPROVED,2022-11-01T13:34:36.033000Z,2022-11-01T13:53:07.474000Z,2022-11-01T13:53:07.968000Z,2022-11-01T13:53:07.909093Z,1112.0,C14BP128,737,24,Female,White,United Kingdom,United Kingdom,Ireland,English,No,Full-Time
6361242a3be507c879262d05,61321dc71434c8765dd3bf1c,APPROVED,2022-11-01T13:50:36.874000Z,2022-11-01T14:14:08.845000Z,2022-11-01T14:14:09.319000Z,2022-11-01T14:14:09.268328Z,1412.0,C14BP128,491,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
63612b183e04d1ac85f54cda,5e291f8145cbca0ecbadd6a3,APPROVED,2022-11-01T14:25:43.462000Z,2022-11-01T15:07:02.748000Z,2022-11-01T15:07:03.151000Z,2022-11-01T15:07:03.078362Z,2480.0,C14BP128,607,21,Female,Asian,Nepal,United Kingdom,Nepal,Nepali,Yes,Part-Time
63612e9aaa22f4797862379b,6014c1b18c19b3524a3ef183,APPROVED,2022-11-01T14:35:08.509000Z,2022-11-01T14:54:20.079000Z,2022-11-01T14:54:20.519000Z,2022-11-01T14:54:20.428150Z,1152.0,C14BP128,375,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
63612eb4d18e417bd66a2f45,60ec9212ee17ee6d4945f7de,APPROVED,2022-11-01T14:35:49.375000Z,2022-11-01T15:02:05.240000Z,2022-11-01T15:02:05.846000Z,2022-11-01T15:02:05.765831Z,1576.0,C14BP128,456,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
636132e7fbc60acffc0fed9b,5891dd715c15e00001583fbc,APPROVED,2022-11-01T14:53:31.082000Z,2022-11-01T15:16:47.707000Z,2022-11-01T15:16:48.156000Z,2022-11-01T15:16:48.095890Z,1397.0,C14BP128,201,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6361331f6457e4a03013dbe0,6078649b9de64f21e3fee45d,APPROVED,2022-11-01T14:54:26.507000Z,2022-11-01T15:38:45.864000Z,2022-11-01T15:38:46.303000Z,2022-11-01T15:38:46.240768Z,2660.0,C14BP128,325,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6361352bc2f332597fd90c9a,60edb4bc87206e9977d8d57e,APPROVED,2022-11-01T15:05:49.493000Z,2022-11-01T15:30:42.329000Z,2022-11-01T15:30:43.420000Z,2022-11-01T15:30:43.354578Z,1493.0,C14BP128,315,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
636135c685f00a6cbd4132c0,611ffc2ea28e21fa33671d4c,APPROVED,2022-11-01T15:05:46.423000Z,2022-11-01T15:59:19.537000Z,2022-11-01T15:59:20.166000Z,2022-11-01T15:59:20.092145Z,3214.0,C14BP128,575,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
