Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
641ebe6eb0d8daa6fd151ee3,59b7b72e11212f0001cd0f15,APPROVED,2023-03-25T09:30:36.143000Z,2023-03-25T09:37:12.050000Z,2023-03-25T09:37:12.505000,2023-03-25T09:37:12.437535Z,396,C14BP128,35,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
641ebed9ec6bb14197e39869,63d581babfbf05d4c83027f6,APPROVED,2023-03-25T09:29:13.116000Z,2023-03-25T09:38:07.211000Z,2023-03-25T09:38:07.684000,2023-03-25T09:38:07.618870Z,535,C14BP128,90,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641ed764fccd548fd886801b,5e78f81933a7cf0526edb697,APPROVED,2023-03-25T11:13:43.634000Z,2023-03-25T11:16:39.372000Z,2023-03-25T11:16:39.832000,2023-03-25T11:16:39.771907Z,176,C14BP128,431,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
641edd2e2d06ab64124611c3,5ede80a7316c240fc78b6f6a,APPROVED,2023-03-25T11:38:22.297000Z,2023-03-25T11:48:58.924000Z,2023-03-25T11:48:59.333000,2023-03-25T11:48:59.272523Z,637,C14BP128,522,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
641ee2f9a82e1e7be69d0f11,63d7f17bc657e6dc9e481a9a,APPROVED,2023-03-25T12:04:57.462000Z,2023-03-25T12:11:47.928000Z,2023-03-25T12:11:48.395000,2023-03-25T12:11:48.331145Z,411,C14BP128,89,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641ee301af48d9a73eab32b8,5a67676a35f26b000149689d,APPROVED,2023-03-25T12:03:20.090000Z,2023-03-25T12:10:29.250000Z,2023-03-25T12:10:29.757000,2023-03-25T12:10:29.702393Z,430,C14BP128,1124,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641f095a207d1e675267c972,5f7366fe5b5261081e3d6fb8,APPROVED,2023-03-25T14:46:52.508000Z,2023-03-25T14:50:27.234000Z,2023-03-25T14:50:27.713000,2023-03-25T14:50:27.629451Z,215,C14BP128,1026,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641f14257c491644af050115,5cf200393d4cf600019b1a74,APPROVED,2023-03-25T15:32:57.698000Z,2023-03-25T15:38:01.779000Z,2023-03-25T15:38:02.195000,2023-03-25T15:38:02.121719Z,305,C14BP128,197,25,Female,White,Portugal,United Kingdom,Portugal,Portuguese,No,Due to start a new job within the next month
641f41012cfc2463539aead1,5a4cb57c9f5e570001e83daf,APPROVED,2023-03-25T18:44:21.932000Z,2023-03-25T18:50:33.996000Z,2023-03-25T18:50:34.456000,2023-03-25T18:50:34.395987Z,373,C14BP128,661,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
641f5c63c9af23ae36ac719b,5bcfde8c8301810001a33bea,APPROVED,2023-03-25T20:41:11.051000Z,2023-03-25T20:46:42.882000Z,2023-03-25T20:46:43.327000,2023-03-25T20:46:43.258925Z,332,C14BP128,573,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641f6347345af22452baf1a4,58bb44dfb225d90001d09eb7,APPROVED,2023-03-25T21:10:37.851000Z,2023-03-25T21:15:23.130000Z,2023-03-25T21:15:23.577000,2023-03-25T21:15:23.511788Z,286,C14BP128,1275,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641f65a5accfe204e0ac7188,5d38613038b787001804ff95,APPROVED,2023-03-25T21:22:05.699000Z,2023-03-25T21:27:59.766000Z,2023-03-25T21:28:00.677000,2023-03-25T21:28:00.619454Z,355,C14BP128,322,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641f703073508d115319efd4,5ea980e8a5e7d908472c2fb0,APPROVED,2023-03-25T22:05:36.907000Z,2023-03-25T22:15:03.613000Z,2023-03-25T22:15:04.105000,2023-03-25T22:15:04.043757Z,567,C14BP128,791,32,Male,Asian,Pakistan,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
641ff5254c620d9cb319efd9,63177eccf7413f061966ef60,APPROVED,2023-03-26T07:32:57.053000Z,2023-03-26T07:40:32.868000Z,2023-03-26T07:40:33.297000,2023-03-26T07:40:33.235516Z,456,C14BP128,203,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
642012ce00e82ce9d8511ff5,63861830958b7290de6353fc,APPROVED,2023-03-26T09:39:26.245000Z,2023-03-26T09:49:03.096000Z,2023-03-26T09:49:03.548000,2023-03-26T09:49:03.474146Z,577,C14BP128,65,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64204b9cb9491501e8cebda3,5f6f4ae8796bee4c3f824545,APPROVED,2023-03-26T13:42:54.970000Z,2023-03-26T13:47:24.964000Z,2023-03-26T13:47:25.362000,2023-03-26T13:47:25.291630Z,270,C14BP128,930,31,Male,White,United States,United Kingdom,United States,English,DATA_EXPIRED,DATA_EXPIRED
642055ff26bb5289d319efce,608d8e5a23217f3f78975235,APPROVED,2023-03-26T14:27:18.982000Z,2023-03-26T14:32:57.337000Z,2023-03-26T14:32:57.825000,2023-03-26T14:32:57.760833Z,339,C14BP128,574,22,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6420624b6c7b7b3b0cc91ce9,5a55c8d276d1c60001aadcb0,APPROVED,2023-03-26T15:18:35.190000Z,2023-03-26T15:29:30.806000Z,2023-03-26T15:29:31.220000,2023-03-26T15:29:31.143187Z,656,C14BP128,995,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
6420adcf3f5ab21224064397,5f3d9d4fd0119419fc617ec2,APPROVED,2023-03-26T20:40:52.231000Z,2023-03-26T20:44:02.907000Z,2023-03-26T20:44:03.779000,2023-03-26T20:44:03.694259Z,191,C14BP128,640,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6420b12279cfab5f51512024,63d4286b200d266b2dd022e4,APPROVED,2023-03-26T20:54:58.088000Z,2023-03-26T21:00:36.728000Z,2023-03-26T21:00:38.329000,2023-03-26T21:00:38.258853Z,339,C14BP128,76,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6420b3e0337ba36a6e6ab8d6,616db3436d5e35b3c43fcbaa,APPROVED,2023-03-26T21:06:45.010000Z,2023-03-26T21:09:28.968000Z,2023-03-26T21:09:29.412000,2023-03-26T21:09:29.335925Z,164,C14BP128,494,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64214a11a4a1dd816d22c4fd,62b33c9875d3ea1a7812f232,APPROVED,2023-03-27T07:47:36.198000Z,2023-03-27T08:03:52.507000Z,2023-03-27T08:03:52.948000,2023-03-27T08:03:52.884172Z,977,C14BP128,346,41,Male,Black,Grenada,United Kingdom,United Kingdom,English,No,Full-Time
6421525fa21c83683bcb1ff4,6285096cd291e26985ef7ad4,APPROVED,2023-03-27T08:24:10.437000Z,2023-03-27T08:31:45.656000Z,2023-03-27T08:31:46.129000,2023-03-27T08:31:46.050438Z,456,C14BP128,167,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64216b4584f4e418220f2bbf,61163ac8930f924205a21cee,APPROVED,2023-03-27T10:09:12.500000Z,2023-03-27T10:17:41.797000Z,2023-03-27T10:17:42.235000,2023-03-27T10:17:42.154008Z,510,C14BP128,169,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
64216fea06acb0d8052b3998,5f6bb5b06802e011480bf328,APPROVED,2023-03-27T10:29:30.568000Z,2023-03-27T10:32:32.140000Z,2023-03-27T10:32:32.629000,2023-03-27T10:32:32.563316Z,182,C14BP128,263,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6421a6c57c0cc19d58a2702a,5c65bffe5aa5610001dd6338,APPROVED,2023-03-27T14:25:45.881000Z,2023-03-27T14:30:24.545000Z,2023-03-27T14:30:25.055000,2023-03-27T14:30:25.005623Z,279,C14BP128,175,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64221dfaf691ec64ac3283df,5f56b1483e63a411d99a0f01,APPROVED,2023-03-27T22:51:38.600000Z,2023-03-27T22:55:41.645000Z,2023-03-27T22:55:42.083000,2023-03-27T22:55:42.025918Z,244,C14BP128,184,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6422bccad1f9b2b282d7a6e9,5fc7977f990ff909859b4b77,APPROVED,2023-03-28T10:09:42.417000Z,2023-03-28T10:13:41.820000Z,2023-03-28T10:13:42.215000,2023-03-28T10:13:42.156767Z,240,C14BP128,881,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
